true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
RRP12	13	12	rpe1	RPE1	1	0.41910871863365173	1534
NAA20	980	565	rpe1	RPE1	1	0.41910871863365173	1534
GPS2	437	458	rpe1	RPE1	1	0.41910871863365173	1534
MEN1	131	93	rpe1	RPE1	1	0.41910871863365173	1534
PGAM5	230	479	rpe1	RPE1	1	0.41910871863365173	1534
TFAM	14	10	rpe1	RPE1	1	0.41910871863365173	1534
NOLC1	29	12	rpe1	RPE1	1	0.41910871863365173	1534
PRC1	81	61	rpe1	RPE1	1	0.41910871863365173	1534
PSTK	183	146	rpe1	RPE1	1	0.41910871863365173	1534
CCDC78	911	688	rpe1	RPE1	1	0.41910871863365173	1534
CAMLG	277	163	rpe1	RPE1	1	0.41910871863365173	1534
DCTN3	456	286	rpe1	RPE1	1	0.41910871863365173	1534
FOLR3	148	53	rpe1	RPE1	1	0.41910871863365173	1534
WDTC1	1031	1029	rpe1	RPE1	1	0.41910871863365173	1534
PPP6C	264	59	rpe1	RPE1	1	0.41910871863365173	1534
GTF3C2	60	2	rpe1	RPE1	1	0.41910871863365173	1534
UBR4	697	1022	rpe1	RPE1	1	0.41910871863365173	1534
PTEN	874	658	rpe1	RPE1	1	0.41910871863365173	1534
MYBBP1A	34	13	rpe1	RPE1	1	0.41910871863365173	1534
ZBTB14	4	7	rpe1	RPE1	1	0.41910871863365173	1534
KARS	40	3	rpe1	RPE1	1	0.41910871863365173	1534
HSPA9	345	49	rpe1	RPE1	1	0.41910871863365173	1534
MCM3	19	27	rpe1	RPE1	1	0.41910871863365173	1534
DDX47	2	3	rpe1	RPE1	1	0.41910871863365173	1534
GPS1	89	8	rpe1	RPE1	1	0.41910871863365173	1534
LMO2	720	569	rpe1	RPE1	1	0.41910871863365173	1534
LTBP4	496	459	rpe1	RPE1	1	0.41910871863365173	1534
FAM136A	205	518	rpe1	RPE1	1	0.41910871863365173	1534
SERF2	663	443	rpe1	RPE1	1	0.41910871863365173	1534
METTL21A	3	14	rpe1	RPE1	1	0.41910871863365173	1534
MYBL2	202	171	rpe1	RPE1	1	0.41910871863365173	1534
RFC2	4	4	rpe1	RPE1	1	0.41910871863365173	1534
CPSF3	484	16	rpe1	RPE1	1	0.41910871863365173	1534
VPS25	238	129	rpe1	RPE1	1	0.41910871863365173	1534
DERL2	86	216	rpe1	RPE1	1	0.41910871863365173	1534
PUF60	732	879	rpe1	RPE1	1	0.41910871863365173	1534
EMC7	503	656	rpe1	RPE1	1	0.41910871863365173	1534
CIAO1	102	69	rpe1	RPE1	1	0.41910871863365173	1534
PRRC2A	232	55	rpe1	RPE1	1	0.41910871863365173	1534
COG2	415	394	rpe1	RPE1	1	0.41910871863365173	1534
GAR1	23	6	rpe1	RPE1	1	0.41910871863365173	1534
THOC3	20	3	rpe1	RPE1	1	0.41910871863365173	1534
HARS	22	12	rpe1	RPE1	1	0.41910871863365173	1534
ATP6V1D	22	197	rpe1	RPE1	1	0.41910871863365173	1534
EFTUD2	7	10	rpe1	RPE1	1	0.41910871863365173	1534
PCBP2	623	395	rpe1	RPE1	1	0.41910871863365173	1534
SAMD4B	1357	885	rpe1	RPE1	1	0.41910871863365173	1534
SNRNP200	15	11	rpe1	RPE1	1	0.41910871863365173	1534
MOB4	174	491	rpe1	RPE1	1	0.41910871863365173	1534
UPF3A	801	465	rpe1	RPE1	1	0.41910871863365173	1534
TMEM214	914	656	rpe1	RPE1	1	0.41910871863365173	1534
PLK4	507	172	rpe1	RPE1	1	0.41910871863365173	1534
RBM10	296	343	rpe1	RPE1	1	0.41910871863365173	1534
CHD4	50	578	rpe1	RPE1	1	0.41910871863365173	1534
UROD	674	565	rpe1	RPE1	1	0.41910871863365173	1534
TOMM20	24	13	rpe1	RPE1	1	0.41910871863365173	1534
GTF2E2	7	5	rpe1	RPE1	1	0.41910871863365173	1534
SARS2	689	611	rpe1	RPE1	1	0.41910871863365173	1534
PAF1	451	21	rpe1	RPE1	1	0.41910871863365173	1534
TUBGCP4	107	17	rpe1	RPE1	1	0.41910871863365173	1534
CASC3	114	139	rpe1	RPE1	1	0.41910871863365173	1534
TRAPPC3	799	524	rpe1	RPE1	1	0.41910871863365173	1534
PPP2CA	371	30	rpe1	RPE1	1	0.41910871863365173	1534
